DELIVERY_ID,VEHICLE_ID,ROUTE_ID,HUB_ID,DELIVERY_DATE,DEPARTURE_TIME,ARRIVAL_TIME,PACKAGE_COUNT,TOTAL_WEIGHT_KG,TOTAL_VOLUME_M3,DELIVERY_SUCCESS_COUNT,DELIVERY_FAIL_COUNT,FAIL_REASON,DRIVER_NAME,STATUS
DLV0000001,VHC002,RTE001,HUB001,2023-01-01,23:45,04:57,238,3054.5,15.97,229,9,반송요청,권태양,PARTIAL
DLV0000002,VHC003,RTE005,HUB002,2023-01-01,06:19,07:51,263,4484.1,21.67,254,9,주소불명,김도현,PARTIAL
DLV0000003,VHC002,RTE012,HUB007,2023-01-01,13:47,15:49,224,3030.2,13.19,209,15,반송요청,권태양,PARTIAL
DLV0000004,VHC006,RTE006,HUB003,2023-01-01,07:17,09:06,666,8093.8,38.16,635,31,반송요청,노재현,PARTIAL
DLV0000005,VHC014,RTE002,HUB001,2023-01-01,21:14,,60,800.5,3.65,57,3,배송불가지역,안재원,IN_TRANSIT
DLV0000006,VHC007,RTE013,HUB007,2023-01-01,13:21,14:21,524,9009.9,44.44,501,23,반송요청,류한수,PARTIAL
DLV0000007,VHC010,RTE006,HUB003,2023-01-01,08:27,10:06,589,10544.2,42.75,554,35,배송불가지역,백승재,PARTIAL
DLV0000008,VHC014,RTE007,HUB005,2023-01-01,08:27,09:56,45,746.7,2.86,42,3,주소불명,안재원,PARTIAL
DLV0000009,VHC012,RTE011,HUB001,2023-01-01,08:25,09:36,55,707.2,3.28,52,3,반송요청,성동일,PARTIAL
DLV0000010,VHC007,RTE014,HUB006,2023-01-01,12:35,14:21,610,8717.2,41.19,587,23,배송불가지역,류한수,PARTIAL
DLV0000011,VHC007,RTE014,HUB006,2023-01-01,13:30,15:51,641,10035.8,43.38,608,33,주소불명,류한수,PARTIAL
DLV0000012,VHC025,RTE006,HUB003,2023-01-01,07:43,09:38,27,379.4,1.86,26,1,수취인부재,최성훈,PARTIAL
DLV0000013,VHC005,RTE001,HUB001,2023-01-01,22:56,04:18,205,3677.3,17.88,191,14,반송요청,나성식,PARTIAL
DLV0000014,VHC024,RTE013,HUB007,2023-01-01,09:49,10:52,25,346.9,1.7,25,0,,조현우,COMPLETED
DLV0000015,VHC024,RTE017,HUB006,2023-01-01,19:51,21:01,25,390.1,2.02,25,0,,조현우,COMPLETED
DLV0000016,VHC019,RTE011,HUB001,2023-01-01,10:27,11:38,3,50.0,0.1,3,0,,이준기,COMPLETED
DLV0000017,VHC006,RTE016,HUB002,2023-01-01,19:17,01:37,555,9172.0,44.14,531,24,반송요청,노재현,PARTIAL
DLV0000018,VHC008,RTE009,HUB001,2023-01-01,07:45,08:37,526,9133.9,37.4,507,19,반송요청,문준호,PARTIAL
DLV0000019,VHC012,RTE019,HUB007,2023-01-01,13:24,14:44,50,629.5,2.88,48,2,수취인부재,성동일,PARTIAL
DLV0000020,VHC011,RTE013,HUB007,2023-01-01,12:14,13:34,59,1000.0,4.2,56,3,주소불명,서준영,PARTIAL
DLV0000021,VHC014,RTE011,HUB001,2023-01-01,10:34,,55,933.6,4.18,52,3,주소불명,안재원,IN_TRANSIT
DLV0000022,VHC014,RTE001,HUB001,2023-01-01,22:20,03:49,41,611.4,2.82,40,1,배송불가지역,안재원,PARTIAL
DLV0000023,VHC014,RTE009,HUB001,2023-01-01,10:03,10:51,57,977.8,3.96,56,1,수취인부재,안재원,PARTIAL
DLV0000024,VHC022,RTE002,HUB001,2023-01-02,21:15,01:03,3,50.0,0.09,3,0,,전성국,COMPLETED
DLV0000025,VHC020,RTE007,HUB005,2023-01-02,06:49,08:35,3,44.7,0.08,3,0,,임현우,COMPLETED
DLV0000026,VHC004,RTE001,HUB001,2023-01-02,21:37,03:22,400,5000.0,25.0,381,19,주소불명,김민재,PARTIAL
DLV0000027,VHC004,RTE010,HUB001,2023-01-02,08:34,09:18,388,5000.0,21.86,358,30,수취인부재,김민재,PARTIAL
DLV0000028,VHC018,RTE011,HUB001,2023-01-02,09:45,10:36,209,3042.5,12.98,199,10,배송불가지역,유재석,PARTIAL
DLV0000029,VHC018,RTE009,HUB001,2023-01-02,08:54,10:14,282,4000.0,18.0,267,15,배송불가지역,유재석,PARTIAL
DLV0000030,VHC010,RTE015,HUB008,2023-01-02,12:54,15:02,653,9662.2,44.4,622,31,수취인부재,백승재,PARTIAL
DLV0000031,VHC013,RTE009,HUB001,2023-01-02,10:12,11:20,62,1000.0,4.46,60,2,수취인부재,송경훈,PARTIAL
DLV0000032,VHC017,RTE019,HUB007,2023-01-02,09:18,10:25,299,4000.0,17.63,283,16,수취인부재,우성진,PARTIAL
DLV0000033,VHC011,RTE012,HUB007,2023-01-02,11:44,13:12,66,1000.0,4.21,62,4,배송불가지역,서준영,PARTIAL
DLV0000034,VHC008,RTE004,HUB001,2023-01-02,21:13,23:09,812,11000.0,51.93,750,62,주소불명,문준호,PARTIAL
DLV0000035,VHC020,RTE017,HUB006,2023-01-02,20:11,21:31,3,50.0,0.1,3,0,,임현우,COMPLETED
DLV0000036,VHC005,RTE009,HUB001,2023-01-02,06:55,,266,3290.2,14.94,246,20,반송요청,나성식,IN_TRANSIT
DLV0000037,VHC011,RTE016,HUB002,2023-01-02,18:52,01:00,66,934.2,4.39,64,2,반송요청,서준영,PARTIAL
DLV0000038,VHC020,RTE002,HUB001,2023-01-02,21:07,00:41,2,47.7,0.1,2,0,,임현우,COMPLETED
DLV0000039,VHC021,RTE008,HUB004,2023-01-02,10:27,12:12,3,50.0,0.1,3,0,,장민수,COMPLETED
DLV0000040,VHC021,RTE004,HUB001,2023-01-02,21:15,23:01,4,50.0,0.09,4,0,,장민수,COMPLETED
DLV0000041,VHC015,RTE015,HUB008,2023-01-03,12:04,14:35,72,1000.0,3.85,69,3,배송불가지역,양상현,PARTIAL
DLV0000042,VHC022,RTE007,HUB005,2023-01-03,07:04,08:40,3,49.5,0.1,3,0,,전성국,COMPLETED
DLV0000043,VHC021,RTE010,HUB001,2023-01-03,08:32,09:19,3,48.4,0.09,3,0,,장민수,COMPLETED
DLV0000044,VHC021,RTE002,HUB001,2023-01-03,21:43,01:26,3,50.0,0.1,3,0,,장민수,COMPLETED
DLV0000045,VHC001,RTE009,HUB001,2023-01-03,08:11,09:04,347,5000.0,22.13,328,19,반송요청,강민호,PARTIAL
DLV0000046,VHC017,RTE003,HUB001,2023-01-03,22:26,02:53,265,3829.7,15.76,256,9,주소불명,우성진,PARTIAL
DLV0000047,VHC014,RTE019,HUB007,2023-01-03,13:52,14:57,53,665.4,2.7,52,1,반송요청,안재원,PARTIAL
DLV0000048,VHC019,RTE015,HUB008,2023-01-03,12:48,14:44,3,42.4,0.08,3,0,,이준기,COMPLETED
DLV0000049,VHC005,RTE010,HUB001,2023-01-03,07:19,08:12,326,5000.0,21.86,301,25,주소불명,나성식,PARTIAL
DLV0000050,VHC003,RTE008,HUB004,2023-01-03,09:59,11:38,410,5000.0,23.56,396,14,주소불명,김도현,PARTIAL
DLV0000051,VHC010,RTE014,HUB006,2023-01-03,10:58,13:08,850,11000.0,46.73,802,48,반송요청,백승재,PARTIAL
DLV0000052,VHC005,RTE003,HUB001,2023-01-03,21:18,02:15,301,5000.0,23.32,278,23,배송불가지역,나성식,PARTIAL
DLV0000053,VHC020,RTE016,HUB002,2023-01-03,22:24,04:23,3,50.0,0.09,3,0,,임현우,COMPLETED
DLV0000054,VHC007,RTE008,HUB004,2023-01-03,09:24,11:18,762,10222.4,48.57,738,24,반송요청,류한수,PARTIAL
DLV0000055,VHC022,RTE005,HUB002,2023-01-03,06:55,07:42,3,41.0,0.08,3,0,,전성국,COMPLETED
DLV0000056,VHC001,RTE005,HUB002,2023-01-04,08:39,09:56,322,5000.0,22.02,305,17,배송불가지역,강민호,PARTIAL
DLV0000057,VHC012,RTE019,HUB007,2023-01-04,13:04,14:10,63,883.0,3.95,59,4,수취인부재,성동일,PARTIAL
DLV0000058,VHC011,RTE008,HUB004,2023-01-04,09:10,11:10,74,1000.0,3.91,70,4,수취인부재,서준영,PARTIAL
DLV0000059,VHC002,RTE011,HUB001,2023-01-04,10:43,11:34,380,5000.0,23.12,366,14,반송요청,권태양,PARTIAL
DLV0000060,VHC003,RTE013,HUB007,2023-01-04,11:29,12:23,353,4759.4,24.57,340,13,반송요청,김도현,PARTIAL
DLV0000061,VHC016,RTE010,HUB001,2023-01-04,09:44,10:53,290,3757.7,15.87,277,13,배송불가지역,오영택,PARTIAL
DLV0000062,VHC007,RTE013,HUB007,2023-01-04,11:01,12:30,856,10829.0,47.42,815,41,배송불가지역,류한수,PARTIAL
DLV0000063,VHC010,RTE001,HUB001,2023-01-04,22:49,04:33,760,11000.0,51.94,736,24,반송요청,백승재,PARTIAL
DLV0000064,VHC013,RTE008,HUB004,2023-01-04,06:57,08:11,71,1000.0,4.43,67,4,주소불명,송경훈,PARTIAL
DLV0000065,VHC016,RTE002,HUB001,2023-01-04,21:12,00:53,278,4000.0,15.62,266,12,반송요청,오영택,PARTIAL
DLV0000066,VHC013,RTE017,HUB006,2023-01-04,20:47,22:12,67,916.6,3.64,62,5,반송요청,송경훈,PARTIAL
DLV0000067,VHC016,RTE003,HUB001,2023-01-04,23:23,03:56,225,4000.0,18.0,211,14,반송요청,오영택,PARTIAL
DLV0000068,VHC010,RTE019,HUB007,2023-01-04,11:06,12:01,613,8715.0,41.19,587,26,반송요청,백승재,PARTIAL
DLV0000069,VHC021,RTE019,HUB007,2023-01-04,12:58,14:03,3,48.5,0.1,3,0,,장민수,COMPLETED
DLV0000070,VHC004,RTE005,HUB002,2023-01-04,10:08,11:10,266,3262.1,17.11,257,9,주소불명,김민재,PARTIAL
DLV0000071,VHC025,RTE019,HUB007,2023-01-04,12:39,14:00,32,500.0,2.2,31,1,수취인부재,최성훈,PARTIAL
DLV0000072,VHC002,RTE012,HUB007,2023-01-04,13:57,15:28,292,4297.1,19.28,278,14,배송불가지역,권태양,PARTIAL
DLV0000073,VHC014,RTE009,HUB001,2023-01-04,10:01,10:49,57,735.4,3.37,54,3,주소불명,안재원,PARTIAL
DLV0000074,VHC005,RTE007,HUB005,2023-01-04,08:49,10:31,270,4486.3,20.0,259,11,주소불명,나성식,PARTIAL
DLV0000075,VHC001,RTE009,HUB001,2023-01-04,06:42,07:19,390,5000.0,21.9,374,16,주소불명,강민호,PARTIAL
DLV0000076,VHC013,RTE008,HUB004,2023-01-04,10:07,11:44,69,845.0,3.43,67,2,반송요청,송경훈,PARTIAL
DLV0000077,VHC013,RTE017,HUB006,2023-01-04,21:41,22:26,70,1000.0,4.02,66,4,배송불가지역,송경훈,PARTIAL
DLV0000078,VHC017,RTE013,HUB007,2023-01-04,11:38,12:38,259,3284.9,14.67,246,13,수취인부재,우성진,PARTIAL
DLV0000079,VHC021,RTE019,HUB007,2023-01-04,13:38,14:50,3,50.0,0.1,3,0,,장민수,COMPLETED
DLV0000080,VHC004,RTE019,HUB007,2023-01-04,12:25,13:00,369,4908.4,23.08,354,15,배송불가지역,김민재,PARTIAL
DLV0000081,VHC015,RTE011,HUB001,2023-01-04,06:53,07:58,72,1000.0,3.96,67,5,수취인부재,양상현,PARTIAL
DLV0000082,VHC025,RTE012,HUB007,2023-01-04,09:26,11:13,38,500.0,2.42,36,2,배송불가지역,최성훈,PARTIAL
DLV0000083,VHC015,RTE002,HUB001,2023-01-04,21:42,01:39,81,1000.0,4.14,77,4,주소불명,양상현,PARTIAL
DLV0000084,VHC013,RTE019,HUB007,2023-01-04,13:59,15:06,63,1000.0,4.34,59,4,수취인부재,송경훈,PARTIAL
DLV0000085,VHC006,RTE009,HUB001,2023-01-05,10:42,11:19,806,11000.0,47.73,782,24,주소불명,노재현,PARTIAL
DLV0000086,VHC022,RTE001,HUB001,2023-01-05,21:23,02:52,2,41.6,0.08,2,0,,전성국,COMPLETED
DLV0000087,VHC020,RTE003,HUB001,2023-01-05,21:17,01:51,3,50.0,0.1,3,0,,임현우,COMPLETED
